sentiment,review
1,"['good', 'need', 'update', 'improvement']"
0,"['bad', 'mobile', 'buy', 'ever', 'battery', 'drain', 'like', 'hell', 'backup', 'hour', 'us', 'even', 'put', 'mobile', 'idle', 'get', 'discharge', 'big', 'lie', 'expect', 'make', 'full', 'say', 'battery', 'booster', 'charger', 'fake', 'take', 'least', 'hour', 'fully', 'charge', 'know', 'survive', 'make', 'full', 'please', 'go', 'else', 'regret', 'like']"
1,"['get', 'cash', 'back', 'already']"
1,['good']
0,"['bad', 'phone', 'change', 'last', 'phone', 'problem', 'still', 'return', 'phone', 'highly', 'disappointing']"
0,"['tell', 'totally', 'money']"
1,"['phone', 'awesome', 'charge', 'heat', 'allot', 'really', 'genuine', 'reason', 'hate', 'note']"
0,"['battery', 'level', 'wear']"
0,"['hit', 'problem', 'phone', 'hanging', 'problem', 'note', 'service', 'station', 'one', 'year', 'warranty', 'change', 'phone']"
0,"['lot', 'dont', 'buy', 'thing', 'well', 'go', 'option']"
1,"['good', 'phone', 'charger', 'work', 'damage', 'within', 'month']"
0,"['purchase', 'item', 'much', 'heat', 'battery', 'life', 'poor']"
0,"['face', 'battery', 'problem', 'problem', 'month', 'bad', 'mobile', 'life']"
1,"['good', 'phone', 'slim', 'good', 'backup', 'good', 'screen', 'love']"
0,"['headset', 'available']"
0,"['every', 'time', 'automatic', 'kindly', 'suggest']"
1,"['best', 'product', 'accord', 'prize', 'range', 'specification', 'comparison', 'another', 'mobile', 'range', 'buy', 'phone', 'seal', 'pay', 'also', 'credit', 'card', 'pay', 'best', 'deal', 'ever']"
0,"['battery', 'drain', 'rapidly', 'know', 'tell', 'possible', 'solution', 'battery', 'life']"
1,['good']
1,['good']
0,"['problem', 'atmos', 'speaker', 'phone']"
1,"['excellent', 'camera', 'excellent', 'speed', 'excellent', 'feature', 'battery']"
1,"['good', 'product']"
0,"['good', 'product', 'camera', 'poor', 'good', 'battery', 'drain', 'quickly', 'like', 'phone', 'fully', 'unexpected', 'product']"
0,"['many', 'option', 'like', 'cast', 'screen', 'without', 'call', 'record', 'option', 'available', 'even', 'connect', 'mobile']"
0,"['give', 'phone', 'cable']"
1,"['awesome', 'phone', 'price', 'second', 'mobile', 'fast', 'display', 'improve']"
0,"['best', 'specification', 'bad', 'function', 'bad', 'phone', 'ever', 'buy']"
0,"['surprise', 'see', 'two', 'one', 'ring', 'non', 'ring', 'disappoint']"
0,"['good', 'phone', 'issue', 'display', 'color', 'screen']"
0,"['new', 'update', 'work', 'superbly', 'battery', 'back', 'also', 'superb', 'much', 'heating', 'problem', 'update', 'phone', 'get', 'heat', 'simply', 'battery', 'also', 'drain', 'unnecessarily', 'really', 'much', 'disappoint', 'update']"
0,"['good', 'one', 'dual', 'work', 'poor', 'customer', 'service']"
0,"['good', 'performance', 'battery', 'get']"
1,"['best', 'camera', 'good', 'backup', 'phone']"
1,"['wonderful', 'best', 'phone']"
0,"['bad', 'performance', 'signal', 'go', 'frequently', 'mobile', 'whenever', 'feel', 'like', 'phone', 'hot', 'charge', 'dont', 'buy']"
1,"['best', 'round', 'performance', 'ever']"
0,"['purchase', 'loose', 'within', 'span', 'day', 'trust', 'worthy', 'deal']"
0,"['worth', 'big', 'disappointment', 'signal', 'problem', 'big', 'headache', 'problem', 'incoming', 'call', 'always', 'show', 'range']"
1,"['best', 'phone', 'rate', 'camera', 'quality', 'good']"
1,"['work', 'well']"
1,"['amaze', 'product', 'good', 'mobile', 'low', 'price', 'good', 'feature']"
1,"['good', 'mobile', 'price', 'good', 'quality', 'camera', 'fast', 'use']"
0,"['use', 'continuously', 'get', 'heat', 'camera', 'quality', 'also', 'good']"
0,"['worst', 'phone', 'ever', 'purchase', 'charge', 'issue']"
0,['poor']
0,"['purchase', 'first', 'sell', 'charge', 'phone', 'slow', 'take', 'around', 'full', 'charge']"
0,"['buy', 'network', 'problem', 'permanent', 'camera', 'quality', 'performance', 'also', 'buy']"
1,"['good', 'phone']"
1,"['nice', 'performance', 'inbuilt', 'memory']"
1,"['superb', 'good', 'battery', 'love', 'phone']"
1,"['value', 'money']"
1,['nice']
1,"['beautiful', 'good', 'look']"
0,"['problem', 'connect', 'speaker', 'audio', 'breakup', 'happen', 'heat', 'problem', 'see', 'half', 'hour']"
0,"['good', 'phone', 'heating', 'problem', 'exist', 'good', 'choice']"
0,"['battery', 'problem']"
1,"['nice', 'mobile', 'long', 'battery', 'back', 'really', 'killer', 'camera', 'jet', 'speed', 'run']"
1,"['amazing', 'product']"
0,"['describe', 'screen', 'cast', 'work', 'fast', 'charging', 'take', 'hour', 'contact', 'file', 'drive', 'card', 'total', 'disappoint']"
0,"['device', 'average', 'usage', 'battery', 'could', 'last', 'day', 'big', 'con', 'phone', 'battery', 'though', 'battery', 'drain', 'fast', 'camera', 'quality', 'good', 'good', 'specially', 'depth', 'mode', 'focus', 'perfect', 'thing', 'like', 'device', 'display']"
0,['good']
0,"['ka', 'mobile', 'battery', 'fully', 'charge', 'offer', 'hour', 'use', 'network', 'signal', 'full', 'incoming', 'call', 'coverage', 'area', 'cheat', 'people']"
1,"['nice', 'mobile']"
1,"['mobile', 'good', 'range', 'battery', 'backup', 'mark', 'weight', 'also', 'high']"
1,"['good', 'price', 'point']"
0,"['improve', 'camera', 'new', 'update', 'slow', 'mo', 'add', 'heating', 'issue', 'still', 'need', 'system', 'system', 'update', 'slow']"
1,['superb']
1,"['excellent', 'mobile', 'phone']"
1,"['good', 'product', 'really', 'fast']"
0,"['fast', 'delivery', 'mobile', 'worth', 'gesture', 'late', 'feature', 'heat', 'issue', 'well', 'choose', 'brand']"
1,"['best', 'mobile', 'great', 'specification', 'camera', 'focus', 'sharp', 'fast', 'thanks', 'mobile', 'must', 'buy', 'guy']"
1,['best']
0,"['firstly', 'product', 'deliver', 'time', 'dissatisfied', 'week', 'secondly', 'android', 'call', 'recording', 'sell', 'product', 'cost', 'drastically', 'drop', 'fourthly', 'talk', 'phone', 'feel', 'like', 'nerve', 'pull', 'much', 'radiation', 'need', 'immediate', 'fix', 'matter', 'safety', 'security', 'customer', 'fifthly', 'issue', 'hardware', 'issue', 'please', 'let', 'know', 'service', 'center', 'location', 'please', 'ensure', 'hardware', 'availability', 'time', 'customer', 'book', 'finally', 'product', 'feature', 'issue', 'find', 'mention', 'call', 'recording', 'option', 'would', 'add', 'product', 'would', 'meet', 'expectation', 'camera', 'quality', 'good', 'bad', 'snap', 'attach']"
1,"['excellent', 'product']"
1,"['nice', 'amazing']"
0,"['device', 'restart', 'automatically']"
0,"['buy', 'product', 'recently', 'thoroughly', 'dissatisfy', 'phone', 'thumb', 'one']"
1,"['really', 'killer']"
0,"['hello', 'purchase', 'remember', 'battery', 'performance', 'device', 'poor', 'check', 'picture', 'attach', 'use', 'hour', 'sleep', 'make', 'sure', 'data', 'still', 'see', 'battery', 'drain', 'idle', 'mode', 'really', 'bad', 'super', 'turbo', 'charger', 'call', 'waste', 'average', 'charger', 'really', 'disappointed', 'raise', 'return', 'request', 'pro', 'rest', 'good']"
0,"['wrest', 'phone', 'problem']"
1,"['happy', 'product']"
0,"['bad', 'product', 'lot', 'malfunction', 'take', 'product']"
0,"['look', 'sleekness', 'phone', 'good', 'feature', 'phone', 'less', 'phone', 'basic', 'feature', 'like', 'sound', 'option', 'shutter', 'importantly', 'voice', 'call', 'recorder', 'camera', 'quality', 'also', 'good', 'average', 'performance']"
0,"['third', 'class', 'phone', 'time', 'disappoint', 'note', 'buy', 'note', 'without', 'kind', 'thinking', 'disappoint', 'without', 'load', 'ram', 'battery', 'also', 'third', 'class', 'short', 'time', 'turbo', 'charge', 'work', 'sometimes', 'time', 'work', 'normal', 'charger', 'gallery', 'many', 'available', 'stock', 'android', 'best', 'thing', 'often', 'show', 'process', 'android', 'stop']"
0,"['product', 'problem', 'get', 'shut', 'charge']"
1,"['love', 'note', 'handset', 'replace', 'time', 'turbo', 'charger', 'service', 'within', 'month', 'become', 'turbo', 'charge', 'slow', 'charge', 'fix', 'request']"
1,"['really', 'good', 'buy']"
1,"['great', 'feature']"
0,"['gift', 'raping', 'also', 'small', 'please', 'refund', 'money', 'work']"
0,"['personally', 'recommend', 'buy', 'product', 'anyone', 'want', 'connect', 'cast', 'screen', 'option', 'option', 'available', 'compatible', 'device', 'cast', 'though', 'available', 'model', 'phone']"
1,"['look', 'mid', 'range', 'phone', 'go', 'feature', 'pretty', 'good', 'small', 'problem', 'ignore', 'worth', 'money']"
1,"['slot', 'work', 'return', 'get', 'fast', 'delivery', 'give', 'star', 'fan', 'love', 'mobile', 'best', 'mobile', 'year', 'get', 'hot', 'less', 'time', 'guess', 'ca', 'ignore', 'phone', 'good', 'lot', 'good', 'feature', 'killer', 'look']"
0,"['bad', 'gaming', 'music', 'buy', 'core', 'processor', 'work', 'bad', 'quad', 'core', 'process', 'phone', 'say', 'speaker', 'one', 'leave', 'speaker', 'hole', 'cheat', 'buyer', 'decent', 'camera', 'display', 'battery', 'could', 'make', 'well', 'ram', 'keep', 'work', 'even', 'phone', 'use']"
1,['really']
0,"['heat', 'battery', 'backup', 'problem']"
1,"['nice', 'phone']"
0,"['product', 'good', 'purchase', 'get', 'cash', 'back', 'way', 'make', 'fool', 'call', 'cash', 'back']"
1,"['nice', 'mobile']"
1,"['mobile', 'good', 'heat', 'problem', 'one', 'thing', 'effect', 'popularity']"
1,"['segment', 'good', 'also', 'superb']"
0,"['mobile', 'good', 'work', 'process', 'expect', 'charger', 'big', 'drawback', 'turbo', 'charger', 'late', 'charge', 'mobile']"
0,"['bad', 'experience', 'previously', 'buy', 'note', 'get', 'problem', 'face', 'battery', 'problem', 'camera', 'problem', 'dont', 'buy', 'phone']"
1,"['great', 'phone']"
0,['nice']
1,"['good', 'mo']"
1,['like']
1,"['high', 'expectation', 'hurt', 'dual', 'camera', 'mark', 'apart', 'issue', 'logic', 'need', 'make', 'clear']"
0,"['buy', 'first', 'sale', 'day', 'much', 'disappoint', 'atmos', 'feature', 'sound', 'good', 'switch', 'also', 'sound', 'weak', 'punch', 'compare', 'get', 'update', 'make', 'sound', 'good', 'get', 'defective', 'phone', 'please', 'let', 'know', 'early']"
0,"['battery', 'drain', 'fast']"
1,"['back', 'camera', 'image', 'good', 'yellow', 'shadow', 'occur']"
0,"['function', 'phone', 'good', 'performance', 'also', 'total', 'waste', 'money', 'please', 'buy', 'phone', 'ever', 'show', 'add', 'false', 'please', 'go', 'mi', 'brand', 'give', 'good', 'mobile', 'range']"
1,"['nice', 'product']"
0,"['bad', 'phone', 'buy', 'though', 'stock', 'android', 'perform', 'good', 'story', 'battery', 'drain', 'idle', 'time', 'dual', 'camera', 'joke', 'still', 'fix', 'update', 'know', 'please', 'buy']"
1,['good']
1,"['good', 'mobile', 'heating', 'problem', 'normal']"
0,"['bad', 'quality']"
0,"['gud', 'nice', 'battery', 'drain', 'fast', 'battery', 'bad']"
0,"['time', 'display', 'work']"
1,"['major', 'disadvantage', 'model', 'battery', 'detachable', 'except', 'feature', 'work', 'nice']"
1,"['battery', 'backup', 'good']"
1,"['use', 'note', 'model', 'type', 'since', 'last', 'ten', 'day', 'fully', 'satisfy', 'product', 'find', 'one', 'problem', 'describe', 'product', 'description', 'handset', 'slot', 'enable', 'find', 'slot', 'support', 'whereas', 'slot', 'support']"
0,"['phone', 'effect', 'dual', 'camera']"
0,"['dual', 'support']"
1,"['one', 'slot', 'disadvantage', 'otherwise', 'awesome']"
0,"['feature', 'really', 'good', 'backlog', 'though', 'ram', 'sometimes', 'struck', 'delay', 'respond', 'battery', 'run', 'quickly', 'like', 'delay', 'camera', 'operating', 'response', 'delay', 'contact', 'search', 'irritate', 'search', 'contact', 'get', 'time', 'save', 'contact', 'worst', 'mobile', 'range', 'buy', 'go', 'good', 'mobile', 'swear', 'regret', 'use']"
0,"['bad', 'camera']"
1,"['front', 'camera', 'good', 'sound', 'need', 'improve']"
1,"['amaze', 'product', 'reasonable', 'price', 'range']"
0,"['expect', 'left', 'speaker', 'channel', 'false', 'right', 'speaker', 'work', 'camera', 'double', 'tap', 'work', 'properly', 'earphone', 'sound', 'quality', 'well', 'use', 'satisfy']"
0,"['poor', 'camera']"
0,"['good', 'product']"
1,"['product', 'awesome']"
0,['phone']
0,"['great', 'phone', 'excellent', 'connectivity', 'quick', 'charging', 'excellent', 'talk', 'time', 'due', 'large', 'battery', 'twin', 'camera', 'require', 'steady', 'hand', 'mine', 'update', 'android', 'connection', 'phone', 'intermittent', 'unstable', 'supplementary', 'information', 'gorilla', 'glass', 'screen', 'probably', 'ordinary', 'glass', 'crack', 'phone', 'slip', 'grasp', 'sit', 'sofa', 'say', 'screen', 'covered', 'reduce', 'rating', 'two', 'star']"
1,"['fast', 'delivery', 'delivery', 'provide', 'district', 'good', 'phone', 'feel', 'bit', 'heavy', 'notification', 'sound', 'adjust', 'bit', 'annoy', 'photo', 'take', 'lot', 'memory', 'much', 'clarity', 'memory', 'feature', 'good']"
0,"['want', 'return']"
0,"['use', 'note', 'th', 'august', 'mobile', 'performance', 'good', 'battery', 'note', 'perform', 'another', 'battery', 'mobile', 'check', 'try', 'solve']"
0,"['poor', 'drain', 'within', 'show', 'performance']"
1,"['good', 'smooth']"
0,"['good', 'configuration', 'high', 'auto', 'deduce', 'call', 'list', 'due', 'auto', 'touch', 'screen', 'huge', 'problem']"
0,"['purchase', 'average', 'phone', 'price', 'segment', 'though', 'camera', 'suppose', 'high', 'performance', 'satisfied', 'battery', 'charge', 'quickly', 'last', 'full', 'day', 'name', 'trust', 'upon', 'buy', 'much', 'expectation', 'simply', 'average', 'smart', 'phone', 'course', 'good', 'rough', 'use']"
1,"['expect', 'performance', 'much', 'really', 'happy', 'product', 'specification', 'thanks', 'give', 'good', 'non', 'damage', 'product', 'time']"
1,"['best', 'phone', 'term', 'specification', 'audio', 'sound', 'battery', 'screen', 'camera', 'ram', 'corn', 'gorilla', 'glass', 'best', 'thing', 'mobile', 'without', 'burn', 'ur', 'pocket']"
1,"['lack', 'like', 'connection']"
1,"['good', 'phone', 'update']"
0,['good']
0,"['good', 'phone', 'month', 'start', 'available', 'memory', 'phone', 'camera', 'also', 'good', 'seriously', 'think', 'performance', 'mid', 'range', 'phone']"
0,"['ye', 'wale', 'note', 'game', 'ka', 'issue', 'replace', 'ly', 'par', 'jane', 'bad', 'service', 'technician', 'ka', 'game', 'koi', 'problem', 'copy', 'phone', 'much', 'mat', 'se', 'wale']"
0,"['call', 'come', 'phone', 'mode']"
1,"['thing', 'good', 'phone', 'smoothly', 'run', 'problem', 'till']"
1,"['phone', 'camera', 'good', 'good', 'phone', 'heating', 'problem', 'charge']"
0,"['bad', 'depth', 'effect', 'honestly', 'want', 'buy', 'phone', 'depth', 'effect', 'go', 'mi', 'recommend', 'buy', 'phone', 'literally', 'good', 'compare', 'phone', 'price', 'range', 'phone', 'top', 'term', 'term', 'processor', 'say', 'snapdragon', 'much', 'good', 'phone', 'save', 'battery', 'phone', 'processor', 'build', 'technology', 'snapdragon', 'battery', 'efficient', 'provide', 'fast', 'charger', 'worry', 'get', 'day', 'battery', 'plug', 'phone', 'get', 'charge', 'last', 'minimal', 'usage', 'really', 'want', 'buy', 'one', 'recommend', 'buy', 'keep', 'mind', 'con', 'phone', 'buy']"
1,"['excellent', 'phone', 'sometimes', 'heat', 'problem', 'may', 'occur', 'overall', 'phone', 'good', 'every', 'condition', 'camera', 'quality', 'processor', 'turbo', 'charge', 'many', 'fabulous', 'feature']"
1,"['good', 'mobile', 'nice']"
1,"['really', 'good', 'product']"
1,"['one', 'best', 'mobile', 'recent', 'day']"
0,"['record', 'facility', 'adequate', 'instruction', 'use']"
0,"['compete', 'note']"
1,"['excellent', 'product']"
0,"['hello', 'guy', 'announce', 'phone', 'note', 'saw', 'feature', 'decide', 'buy', 'bu', 'th', 'day', 'use', 'disappoint', 'much', 'heating', 'play', 'simple', 'game', 'ex', 'temple', 'run', 'hate', 'type', 'heat', 'problem', 'opinion', 'guy', 'buy', 'product', 'west', 'money', 'return', 'product']"
0,"['good', 'phone', 'battery', 'life', 'poor', 'phone', 'issue']"
1,"['nice', 'phone']"
0,"['automatic', 'call', 'recorder', 'backup', 'key', 'light', 'problem']"
1,"['good', 'mobile', 'good', 'performance']"
0,"['phone', 'expect', 'much']"
0,"['mobile', 'heat', 'quickly', 'battery', 'charge', 'take', 'lot', 'turbo', 'good', 'camera', 'buy', 'mobile']"
0,"['good', 'handset', 'accessory', 'bad', 'quality', 'charger', 'damage', 'month']"
0,"['battery', 'drain', 'fast', 'even', 'keep', 'idle', 'please', 'buy', 'something', 'know', 'issue', 'cheat', 'customer']"
1,['super']
1,"['nice', 'one']"
1,['love']
0,"['per', 'description', 'update', 'new', 'unfortunately', 'old', 'one', 'update', 'already', 'make']"
0,"['buy', 'product']"
1,"['excellent', 'performance']"
0,"['battery', 'back', 'frustrate', 'get', 'discharge', 'fast', 'camera', 'also', 'claim', 'make', 'mistake', 'buy', 'phone']"
0,"['battery', 'backup', 'poor']"
